Link,iFrame,MouseOver
https://www.thehistoryofenglish.com,1,1
https://www.creativelab.org.ua,1,None
https://www.otelika.com,0,1
https://www.seeweg.de,0,1
http://www.au-paycccy.aseaoaameoy.uqfj.top/AU,1,None
https://www.law.hqu.edu.cn,1,None
http://kidms.com/dev/wp-content/uploads/secure_images/products/old/view.html,1,1
https://storageapi.fleek.co,1,1
https://www.seijishikin-ombudsman.com,0,1
https://47213.app.link/X8N4aOepX4,1,1
http://worldbank-pk.org/pp/,1,None
http://www.au-paccny.aueseacaomceoy.zkspkj.top/AU,1,1
http://www.au-pacy.aeuseoaom.tuxisw.top/AU,1,None
https://www.rivetmro.com,0,1
https://www.pcgs.wildapricot.org,1,None
https://www.davidcanepa.com,0,1
https://www.thearizonasteakhouse.com,0,1
http://topprioritys.appspot.com/u?purl=b2Qubmlnb2wvU1UvbW9jLml0aWMuZW5pbG5vLy86c3B0dGg=,0,1
http://www.au-paccy.aeueseaoaomceoy.kjotzf.top/AU,1,None
https://www.satkaniaiit.com/connection/direct.php?account_id=xyz@abc.com,1,None
http://swiftholyfck.me/gnm22s,1,None
https://www.hwy1-17.caltrans.ca.gov,1,None
https://www.prolampsales.com,0,1
https://www.enjoygroup.es,0,1
http://www.au-poyacy.acuoaaoaeoy.eenkw.top/AU,1,None
https://www.thefellowshiptc.com,0,1
http://www.au-poacy.aceeuearaomceoy.hcfugu.top/AU,1,None
https://www.bohofan.com,0,1
https://sode-mape.web.app/,1,1
https://www.kmcg.gov.cn,1,None
http://www.ekl-net.com-asoeeees.mnnijd.top,1,1
https://www.angra.hatenablog.com,1,None
http://caspianglobalservices.com/fonts/.hennessy/,1,None
https://www.technicalauthoring.com,1,1
https://www.parisbytheglass.com,0,1
https://www.fes-baltic.ee,1,None
https://www.geo.uni-tuebingen.de,0,1
https://www.amaara.org.in,1,None
https://www.fernandozozaya.com,1,1
http://www.au-pcccny.aueseasaomceoy.bpadlv.top/AU,1,1
http://bit.ly/itauweb-master-net,0,1
https://www.joomladayrio.com.br,1,None
https://www.thetapestry.co.uk,1,1
https://www.ftitc.com/project/,1,1
http://cdex.netlify.app,1,1
https://www.bowlandclimber.com,0,1
http://www.au-poccy.aceeseacraocmeoy.lezzas.top/AU,1,1
https://www.crestron.com.au,1,None
https://www.danal.jp,1,None
https://www.webgambit.com,1,None
https://www.data.triviasp.com.ar,1,None
https://1c736805-a8df-4bc8-9751-f6093569c6d9.id.repl.co,1,1
https://arcromdiamonds.ro/fr/,1,1
https://www.panela.blog-city.com,1,None
https://www.kaiserstuhlapotheke.de,0,1
https://www.brainpayroll.co.uk,0,1
https://www.rezultati.cik2009.bg,0,1
https://www.koh-kong-cambodia.com,1,1
http://www.ekl-net.conn-aocsccesas.xdtwpw.top,1,1
https://www.idee.paris.fr,1,None
https://www.tdathome.com.au,0,1
https://vzkzuzwegfymgnhzcgew.top/,1,None
http://halestelevision.co.uk/components/com_contact/cz/4f2ce4697b27ae19dcb701e5c4a09029/,1,1
https://storageapi.fleek.co,1,1
http://www.au-pany.aeuceaom.mwjpue.top/AU,1,None
https://www.class.pedf.cuni.cz,1,None
https://www.bolly.sawfnews.com,1,None
https://storageapi.fleek.co,1,1
https://www.barksdale.oncell.com,1,None
http://www.births.cloudns.asia/asstt/,1,None
http://serenadeofsouls.com/wp-content/plugins/contact-form-7/includes/Skin/PDF/index.php,1,1
http://services.u7497943u9.ha004.t.justns.ru/,1,None
http://www.au-paacny.aueccaaomceoy.mtuapp.top/AU,1,None
https://drive.google.com/file/d/1q_BI6KaNY9zZvHHty1qcByQZdirwJzxG/view?usp=sharing,1,1
https://www.dvpg.net,1,None
https://www.haveageekasm.com,1,None
https://www.revistamasseguridad.com.mx,1,1
https://www.lazyjack.co.jp,1,None
https://drive.google.com/file/d/1kNolZ4xw7mgnCSjYsbomy_y4zxlk6zlD/view?usp=sharing,0,1
https://www.alte-rebschule.de,0,1
https://www.reinesfreiland-media.de,1,None
http://www.au-paaccy.aeeucaoaomceoy.lgjkee.top/AU,1,None
https://www.fargenamps.com,1,None
https://www.dreamlandcreativeprojects.com,0,1
http://mlcrosoft-0nedrive-portal.el.r.appspot.com/logi.html,1,1
https://envicom.nl/wp-includes/images/noos/ned/NedbankMoney.htm,1,None
https://www.measat.com,1,None
https://www.bolz-summix.com,1,None
https://www.zagslife.com,0,1
https://www.forums.zentoolworks.com,1,None
http://www.riblanda.com/support.ionos.com/client.accees.account.update/ionos2/index.html,1,1
https://www.e-desinews.com,0,1
https://www.xiac.com,1,None
http://www.eki-net.con-aescosesa.futgud.top,1,1
https://www.marineatlas.be,0,1
http://www.au-paaccy.aueccaaomceoy.gsqzpy.top/AU,1,None
https://www.clonemaster.homestead.com,1,None
https://www.mig35.tass.com,1,None
https://www.borgosancristoforo.it,0,1
https://storageapi.fleek.co,1,1
https://www.kingcanary.nl,0,1
http://weddingsbyknottydays.com/.user/,1,1
http://www.vivcevasvai.vicsvesai.wztqb7.icu,1,1
https://303e7a2d-afff-43d6-9bc2-a1c9f810d0b1.htmlcomponentservice.com/get_draft?id=96c871_39d1eee16c26eff7fabe1ba646529cb6.html,1,1
https://www.erc.com.na,1,None
http://aquanity.co.il/host/host/index.php,1,None
https://www.pakistan.asia-news.com,1,None
http://www.ozziedeals.com.au/img/identifient/5785ecce95455281a7064e4bbbbfd859/index.php?get=confirmation2,1,1
http://www.au-poccy.aceeseacraocmeoy.ekijve.top/AU,1,1
http://201.163.98.162/crm/jssource/src_files/modules/Project/home/de102cc29dbc05509b7f97227,1,None
https://www.churchtechnologysuperstore.com,1,None
https://storageapi.fleek.co,1,1
https://www.oceandrivemiamibeach.com,1,1
https://gettinghelpwithmyparcel-usps.com,1,None
http://www.pracadarepublicaembeja.net/men,1,1
https://www.opendataportal.at,0,1
https://www.zachjohnsongolf.com,0,1
http://www.ekl-net.com-asoeeees.xfkkfe.top,1,1
https://www.ronnieswietek.com,1,None
https://www.backcountry-colorado-yurt.com,1,None
http://umpalangkaraya.ac.id/perpustakaan/digilib/files/tmp/posting/information-compte.php,1,1
http://10ideiasdenegocios1.tonidicoimbra.club/,1,None
http://www.au-poccy.aeueseaoaomceoy.nvwszn.top/AU,1,None
https://www.nike-airvapormax.com,1,None
https://www.ginzawi.com,0,1
https://www.tourismroatan.com,0,1
http://kayo.pl/bosmet/googledocs/login.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&amp;userid=&amp;userid_JeHJOXK0IDw_JOXK0IDD,0,1
https://www.carolinakitchenbbq.com,0,1
https://www.hibiscusmonkey.com,0,1
http://www.eki-net.con-aesceeeeesas.wplaog.top,1,1
https://www.tastyeverafter.com,0,1
http://www.au-paaoy.auccaom.suszyk.top/AU,1,None
https://www.fishincompany.com,0,1
https://www.imisammo.com,1,None
https://www.crdp-ks.org,0,1
https://www.zazpistm.com,0,1
http://www.ekl-net.conn-aoscceo.yjhdyu.top,1,1
https://www.agriporta7.nl,0,1
https://www.cmplus.com.au,0,1
https://www.besidesthescreen.com,0,1
https://www.techresearchonline.com,1,None
https://www.maine.pmpaware.net,1,None
https://www.patuvol.mydns.jp,1,None
https://www.southendnewsnetwork.net,0,1
http://g102d3e13e313e1.com/ap,1,None
https://izzylogz.nn.r.appspot.com/home.html,1,1
https://www.alternative-dictionaries.net,1,1
http://www.au-payccoy.aseacaameoy.gruc.top/AU,1,None
https://www.floatsolutions.com,1,None
https://www.inp.bsu.by,1,None
https://www.kk-misumi.jp,0,1
https://www.bigtimer.net,0,1
