Link,Domain,Have_IP,Have_@,URL_Length,Domain_Length,URL_Depth,occurence_tirets,Redirection,Number_%,https_Domain,TinyURL,label
https://75e523b0-579a-4d05-aa9e-2d1ccde20fc0.id.repl.co/fes,75e523b0-579a-4d05-aa9e-2d1ccde20fc0.id.repl.co,34.149.204.188,0,59,47,1,5,6.0,1,0,0,1
http://vystar.security.canarotransportes.com.br,vystar.security.canarotransportes.com.br,177.53.142.253,0,47,40,1,1,5.0,1,0,0,1
http://vintedsite-market.45444342655.xyz/qiaexaia/switch-step,vintedsite-market.45444342655.xyz,188.114.97.2,0,61,33,1,3,5.0,1,0,0,1
https://fwwwfrererre.000webhostapp.com,fwwwfrererre.000webhostapp.com,145.14.145.40,0,38,30,1,1,6.0,1,0,0,1
https://e-tax.form.3649-indentificamz.com,e-tax.form.3649-indentificamz.com,,0,41,33,1,3,6.0,1,0,0,1
http://qwertyuihgfdsxcnbv.weeblysite.com,qwertyuihgfdsxcnbv.weeblysite.com,199.34.228.97,0,40,33,1,1,5.0,1,0,0,1
http://dfevidfkygyud.weeblysite.com,dfevidfkygyud.weeblysite.com,199.34.228.96,0,35,28,1,1,5.0,1,0,0,1
http://www.eki-net.con-aescccceeaas.gvjm.top,eki-net.con-aescccceeaas.gvjm.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescccceeaas.wzpclp.top,eki-net.con-aescccceeaas.wzpclp.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccccesaas.hyhowu.top,eki-net.con-aesccccesaas.hyhowu.top,,0,46,35,1,3,5.0,1,0,1,1
https://btconnect-089b9d.webflow.io,btconnect-089b9d.webflow.io,151.101.122.132,0,35,27,1,2,6.0,1,0,0,1
http://www.eki-net.con-aesccccesaas.ywqcdn.top,eki-net.con-aesccccesaas.ywqcdn.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccecceeaas.dkuc.top,eki-net.con-aesccecceeaas.dkuc.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccecceeaas.zrnrso.top,eki-net.con-aesccecceeaas.zrnrso.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceccesaas.qkyqqw.top,eki-net.con-aescceccesaas.qkyqqw.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceccesaas.vnfp.top,eki-net.con-aescceccesaas.vnfp.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeaas.acggmc.top,eki-net.con-aescceeeeaas.acggmc.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeaas.mump.top,eki-net.con-aescceeeeaas.mump.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeaas.qucc.top,eki-net.con-aescceeeeaas.qucc.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeeaas.asjdvg.top,eki-net.con-aescceeeeeaas.asjdvg.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeeaas.fyvdku.top,eki-net.con-aescceeeeeaas.fyvdku.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeeaas.rzhtjo.top,eki-net.con-aescceeeeeaas.rzhtjo.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeeeaas.wdjsvq.top,eki-net.con-aescceeeeeaas.wdjsvq.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeesaas.gvjm.top,eki-net.con-aescceeeesaas.gvjm.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeeesaas.wplaog.top,eki-net.con-aescceeeesaas.wplaog.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceeesaas.xkqkrs.top,eki-net.con-aescceeesaas.xkqkrs.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceoseeaas.idgton.top,eki-net.con-aescceoseeaas.idgton.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceoseeaas.thkray.top,eki-net.con-aescceoseeaas.thkray.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceosesaas.czatfo.top,eki-net.con-aescceosesaas.czatfo.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceosesaas.piiyis.top,eki-net.con-aescceosesaas.piiyis.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceosesaas.thkray.top,eki-net.con-aescceosesaas.thkray.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceosesaas.trea.top,eki-net.con-aescceosesaas.trea.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescceosesaas.ywqcdn.top,eki-net.con-aescceosesaas.ywqcdn.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccoseeaas.dkuc.top,eki-net.con-aesccoseeaas.dkuc.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccoseeaas.ujtv.top,eki-net.con-aesccoseeaas.ujtv.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccoseeaas.zjtrji.top,eki-net.con-aesccoseeaas.zjtrji.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccosesaas.dzztwm.top,eki-net.con-aesccosesaas.dzztwm.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccosesaas.jvuu.top,eki-net.con-aesccosesaas.jvuu.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesccosesaas.vnbncj.top,eki-net.con-aesccosesaas.vnbncj.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescecceesas.latofm.top,eki-net.con-aescecceesas.latofm.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aescecceesas.zynbuz.top,eki-net.con-aescecceesas.zynbuz.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceecceesas.fnexck.top,eki-net.con-aesceecceesas.fnexck.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceecceesas.jyxeuz.top,eki-net.con-aesceecceesas.jyxeuz.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceecceesas.qhyaod.top,eki-net.con-aesceecceesas.qhyaod.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceecceesas.vnbncj.top,eki-net.con-aesceecceesas.vnbncj.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceecceesas.zynbuz.top,eki-net.con-aesceecceesas.zynbuz.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeccesoas.fnexck.top,eki-net.con-aesceeccesoas.fnexck.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeccesoas.zomoen.top,eki-net.con-aesceeccesoas.zomoen.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeeesas.hyhowu.top,eki-net.con-aesceeeeeesas.hyhowu.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeeesas.piiyis.top,eki-net.con-aesceeeeeesas.piiyis.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeeesas.xlwcrv.top,eki-net.con-aesceeeeeesas.xlwcrv.top,,0,47,36,1,3,5.0,1,0,1,1
https://pichichasashe--pichacha.repl.co,pichichasashe--pichacha.repl.co,34.149.204.188,0,39,31,1,2,6.0,1,0,0,1
https://okay99-update-2022.firebaseapp.com,okay99-update-2022.firebaseapp.com,199.36.158.100,0,42,34,1,3,6.0,1,0,0,1
https://mcp25-vaaaa-aaaad-qeefq-cai.raw.ic0.app,mcp25-vaaaa-aaaad-qeefq-cai.raw.ic0.app,145.40.94.182,0,47,39,1,5,6.0,1,0,0,1
https://att-mail-106257.square.site,att-mail-106257.square.site,199.34.228.40,0,35,27,1,3,6.0,1,0,0,1
https://xn--metamsk-1wa.com,xn--metamsk-1wa.com,176.113.115.121,0,27,19,1,3,6.0,1,0,0,1
http://onbaserec.life/dashexten/uniswapexchange,onbaserec.life,,0,47,14,1,1,5.0,1,0,0,1
http://www.eki-net.con-aesceeeeesas.scah.top,eki-net.con-aesceeeeesas.scah.top,,0,44,33,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeesas.wplaog.top,eki-net.con-aesceeeeesas.wplaog.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeesoas.gvjm.top,eki-net.con-aesceeeeesoas.gvjm.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeeeesoas.okhusg.top,eki-net.con-aesceeeeesoas.okhusg.top,,0,47,36,1,3,5.0,1,0,1,1
https://karafuru.invite-mint.com,karafuru.invite-mint.com,104.21.95.52,0,32,24,1,2,6.0,1,0,1,1
http://www.eki-net.con-aesceeoseesas.adyjox.top,eki-net.con-aesceeoseesas.adyjox.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeoseesas.fxmffc.top,eki-net.con-aesceeoseesas.fxmffc.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeoseesas.qyknpq.top,eki-net.con-aesceeoseesas.qyknpq.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeoseesas.w8ru34hw.top,eki-net.con-aesceeoseesas.w8ru34hw.top,,0,49,38,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeosesoas.gbaiwf.top,eki-net.con-aesceeosesoas.gbaiwf.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeosesoas.okhusg.top,eki-net.con-aesceeosesoas.okhusg.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceeosesoas.wplaog.top,eki-net.con-aesceeosesoas.wplaog.top,,0,47,36,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceoseesas.brhwcz.top,eki-net.con-aesceoseesas.brhwcz.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.eki-net.con-aesceoseesas.mtbuiy.top,eki-net.con-aesceoseesas.mtbuiy.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.ekl-net.com-asccecceaas.acggmc.top,ekl-net.com-asccecceaas.acggmc.top,,0,45,34,1,3,5.0,1,0,1,1
http://www.ekl-net.com-asccecceaas.fnexck.top,ekl-net.com-asccecceaas.fnexck.top,,0,45,34,1,3,5.0,1,0,1,1
https://dev-bancawebhomeitau-py.pantheonsite.io,dev-bancawebhomeitau-py.pantheonsite.io,23.185.0.3,0,47,39,1,3,6.0,1,0,0,1
http://www.ekl-net.com-ascceecceaas.sjkppt.top,ekl-net.com-ascceecceaas.sjkppt.top,,0,46,35,1,3,5.0,1,0,1,1
http://www.ekl-net.com-ascceecceaas.wdjsvq.top,ekl-net.com-ascceecceaas.wdjsvq.top,,0,46,35,1,3,5.0,1,0,1,1
