Link,Domain,Have_IP,Have_@,URL_Length,Domain_Length,URL_Depth,occurence_tirets,Redirection,Number_%,https_Domain,TinyURL,label
http://shadetreetechnology.com/V4/validation/a111aedc8ae390eabcfa130e041a10a4,shadetreetechnology.com,34.102.136.180,0,77,23,1,1,5,1,0,0,1
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,support-appleld.com.secureupdate.duilawyeryork.com,,0,126,50,1,2,6,1,0,0,1
http://appleid.apple.com-app.es/,appleid.apple.com-app.es,,0,32,24,1,2,5,1,0,0,1
http://www.shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531,shadetreetechnology.com,34.102.136.180,0,81,23,1,1,5,1,0,0,1
http://html.house/l7ceeid6.html,html.house,104.236.175.252,0,31,10,1,1,5,1,0,0,1
http://wave.progressfilm.co.uk/time3/?logon=myposte,wave.progressfilm.co.uk,162.13.162.62,0,51,23,1,1,5,1,0,0,1
http://beta.kenaidanceta.com/postamok/d39a2/source,beta.kenaidanceta.com,66.84.45.73,0,50,21,1,1,5,1,0,0,1
http://www.ktplasmachinery.com/cs/,ktplasmachinery.com,18.222.29.120,0,34,19,1,1,5,1,0,0,1
http://batvrms.net/deliver/D2017HL/u.php,batvrms.net,103.159.36.34,0,40,11,1,1,5,1,0,0,1
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/bb14d7ff1fcbf29?cmd=_update&dispatch=bb14d7ff1fcbf29bb&locale=_us,support-appleld.com.secureupdate.duilawyeryork.com,,0,126,50,1,2,5,1,0,0,1
https://polarklimatsgserver.blogspot.com/,polarklimatsgserver.blogspot.com,142.250.179.65,0,41,32,1,1,6,1,0,1,1
http://secureupdate.appleld.com.duilawyeryork.com/ap/88b142e778d73f7,secureupdate.appleld.com.duilawyeryork.com,,0,68,42,1,1,5,1,0,0,1
http://www.inbioma.pe/rechnung-376440790464490488&amp;cgi3-viewkontakt-376440790464490488-007acctpagetype-376440790464490488=4674720-&amp;info@s-und-s-shop.de.html,inbioma.pe,186.64.118.5,1,163,10,1,10,5,1,0,0,1
http://mno.naomigoff.com/Apollo/bc28a52c2070ca93176244f59e1f19c6,mno.naomigoff.com,192.169.69.25,0,64,17,1,1,5,1,0,0,1
http://xh167894743.el.r.appspot.com/,xh167894743.el.r.appspot.com,142.250.178.148,0,36,28,1,1,5,1,0,1,1
http://dichvuvnpt.com/home/components/com_user/bbtonline.html,dichvuvnpt.com,103.42.56.26,0,61,14,1,1,5,1,0,1,1
http://swallowthisbitchpics.com/jpg/www.global.visa.com/myca/oce/emea/action/request_type=un_Activation/visa.html,swallowthisbitchpics.com,,0,113,24,1,1,5,1,0,0,1
