NumberRedirects,checkWHOIS_exists,isinAlexa,NumbLinkToDomain,indexbyGoogle,Domain,Have_@,URL_Length,Domain_Length,occurence_tirets,Redirection,Number_%,TinyURL,iFrame,MouseOver,label
0,141,0,0,1,thehistoryofenglish.com,0.0,35.0,23.0,1.0,6.0,1.0,0.0,1,1,0.0
0,195,0,0,1,creativelab.org.ua,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
1,66,0,0,1,otelika.com,0.0,23.0,11.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,seeweg.de,0.0,21.0,9.0,1.0,6.0,1.0,0.0,0,1,0.0
0,11,0,0,1,au-paycccy.aseaoaameoy.uqfj.top,0.0,45.0,31.0,2.0,5.0,1.0,0.0,1,0,1.0
0,0,0,0,1,law.hqu.edu.cn,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,175,0,0,1,kidms.com,0.0,76.0,9.0,2.0,5.0,1.0,0.0,1,1,1.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
1,73,0,0,1,seijishikin-ombudsman.com,0.0,37.0,25.0,2.0,6.0,1.0,0.0,0,1,0.0
0,91,0,0,1,47213.app.link,0.0,33.0,14.0,1.0,6.0,1.0,0.0,1,1,1.0
0,0,0,0,1,worldbank-pk.org,0.0,27.0,16.0,2.0,5.0,1.0,0.0,1,0,1.0
1,0,0,0,0,au-paccny.aueseacaomceoy.zkspkj.top,0.0,49.0,35.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,0,au-pacy.aeuseoaom.tuxisw.top,0.0,42.0,28.0,2.0,5.0,1.0,0.0,1,0,1.0
1,70,0,3,1,rivetmro.com,0.0,24.0,12.0,1.0,6.0,1.0,0.0,0,1,0.0
0,199,0,0,1,pcgs.wildapricot.org,0.0,32.0,20.0,1.0,6.0,1.0,0.0,1,0,0.0
1,189,0,0,1,davidcanepa.com,0.0,27.0,15.0,1.0,6.0,1.0,0.0,0,1,0.0
1,191,0,0,1,thearizonasteakhouse.com,0.0,36.0,24.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,topprioritys.appspot.com,0.0,87.0,24.0,1.0,5.0,1.0,1.0,0,1,1.0
0,9,0,0,0,au-paccy.aeueseaoaomceoy.kjotzf.top,0.0,49.0,35.0,2.0,5.0,1.0,0.0,1,0,1.0
0,62,0,0,1,satkaniaiit.com,1.0,72.0,15.0,1.0,6.0,1.0,1.0,1,0,1.0
0,0,0,0,1,swiftholyfck.me,0.0,29.0,15.0,1.0,5.0,1.0,0.0,1,0,1.0
0,0,0,0,1,hwy1-17.caltrans.ca.gov,0.0,35.0,23.0,2.0,6.0,1.0,0.0,1,0,0.0
0,93,0,0,1,prolampsales.com,0.0,28.0,16.0,1.0,6.0,1.0,0.0,0,1,0.0
1,0,0,0,1,enjoygroup.es,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
0,11,0,0,0,au-poyacy.acuoaaoaeoy.eenkw.top,0.0,45.0,31.0,2.0,5.0,1.0,0.0,1,0,1.0
0,182,0,0,1,thefellowshiptc.com,0.0,31.0,19.0,1.0,6.0,1.0,0.0,0,1,0.0
0,9,0,0,0,au-poacy.aceeuearaomceoy.hcfugu.top,0.0,49.0,35.0,2.0,5.0,1.0,1.0,1,0,1.0
1,31,0,0,1,bohofan.com,0.0,23.0,11.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,sode-mape.web.app,0.0,26.0,17.0,2.0,6.0,1.0,0.0,1,1,1.0
0,0,0,0,1,kmcg.gov.cn,0.0,23.0,11.0,1.0,6.0,1.0,0.0,1,0,0.0
